Student_ID,Age,Gender,Study_Hours_Per_Week,Attendance_Rate,Sleep_Hours,Extracurricular_Activities,Internet_Access,Parental_Education,Previous_Score,Midterm_Score,Final_Score,Grade_Category
STU_0001,18,Male,39.725530518815944,84.3100848901089,7.306959771498232,No,Yes,High School,82.66730902091714,62.57870901729986,80.67797733244181,B
STU_0002,19,Male,34.799873521078354,71.8120591028733,6.6290716794900675,Yes,No,Associate,43.11796588787082,61.7913474229735,69.0110769333173,D
STU_0003,17,Male,12.297868002506753,65.46403614604691,9.035082369881792,No,Yes,Associate,91.58486834110401,43.13612005369579,48.908487529483445,F
STU_0004,19,Male,37.570832512537066,86.06559041909107,4.964077508271071,Yes,Yes,PhD,67.49519888590288,81.13231723375739,78.24531928351817,C
STU_0005,19,Male,9.072823925991663,89.54389832529323,4.149829972702298,No,Yes,High School,55.74496490177287,66.17286502720272,59.155276630332196,F
STU_0006,16,Male,33.610739797191705,72.625093750534,6.694232607580755,Yes,Yes,High School,54.5058704487809,51.687628158635604,63.922501984310514,D
STU_0007,17,Male,18.3218152716803,85.79330416089255,5.424871340513545,No,Yes,High School,68.98084677063703,88.9620101381241,67.11567924398148,D
STU_0008,17,Female,35.72910121557743,75.80523630446012,4.297686240033025,No,Yes,Bachelor,93.20989236813756,88.15364488909768,83.83002840279677,B
STU_0009,17,Male,35.38198415376076,88.52827533130471,8.347589721085773,Yes,Yes,High School,62.70085490095882,69.18349768533363,81.03212882596046,B
STU_0010,19,Female,33.20738900411674,67.96861099576212,4.669557999743485,No,Yes,Master,84.9835448070126,57.907039668865636,69.72289550828414,D
STU_0011,18,Male,32.65106527074715,95.60860010544698,7.64991700004663,Yes,Yes,Bachelor,45.80912385923312,78.28556354778715,75.6692381523217,C
STU_0012,17,Non-binary,15.663769868431427,71.49638385862319,5.686298501001335,Yes,Yes,Bachelor,68.5634021290637,57.28912814664419,57.021661794289685,F
STU_0013,20,Male,7.832174906793826,74.71143951024612,5.040976302130132,Yes,No,Bachelor,99.50116842356414,54.16047581942272,47.37805108263274,F
STU_0014,19,Male,19.104306256780653,62.32367808321399,6.278509137515905,Yes,Yes,High School,86.22626816754021,83.8308792415796,61.83185068834262,D
STU_0015,16,Non-binary,11.073358024527803,64.46048849285106,8.808674657337722,Yes,Yes,High School,52.63170930643678,42.419514383257045,46.130701839468344,F
STU_0016,18,Female,29.32328811158616,80.63447610849312,6.352561461427436,No,No,Associate,70.08648842187463,45.686108262075635,62.157344662622386,D
STU_0017,20,Female,17.113490428822494,70.70370706911886,8.504617895266335,No,Yes,Bachelor,54.017485818914,40.407290441415384,55.18516808805015,F
STU_0018,20,Male,39.14635703009702,93.41920902968778,4.752917780794904,No,Yes,High School,64.57365563575055,49.17659118852557,80.54535358347083,B
STU_0019,16,Male,27.43402270708662,60.587735546198154,8.636628517990474,Yes,Yes,High School,86.80504142409788,44.13940052262757,66.89173591293962,D
STU_0020,18,Female,33.786819727202634,75.16376194687744,5.421599949439892,No,No,PhD,86.27348891742422,99.74814206679511,96.65086652486383,A
STU_0021,19,Female,9.638363545964694,73.49382187076371,8.064358779333237,No,Yes,High School,53.6860226741431,57.32859819724538,49.44787438891259,F
STU_0022,15,Female,35.17050687954179,60.77310523670404,7.394689329045978,No,No,Master,95.33339908929162,48.95608076015483,75.53041488242113,C
STU_0023,18,Female,37.296501667968805,64.97473596002041,9.574868303270124,No,Yes,Bachelor,75.5540909658896,54.45977547975508,69.49406939710497,D
STU_0024,16,Male,22.047167158662756,76.54570699674541,6.323935107851884,No,Yes,High School,62.79545745772087,96.16753429240808,85.51571811195636,B
STU_0025,20,Female,26.21885282128421,79.71458337789787,4.396991133006643,Yes,No,High School,70.11613484685164,71.20961338146374,80.91133553753228,B
STU_0026,19,Male,31.76834303160484,76.17158989019477,4.114932913307517,Yes,Yes,High School,76.30427520626462,61.88908577847141,72.9475581991259,C
STU_0027,18,Male,11.119351954114439,81.23750713648376,8.961151365836518,No,Yes,Bachelor,73.59343191074713,92.40348747455316,68.9596791669239,D
STU_0028,15,Male,22.589812676220486,83.80526699622726,7.148413825968593,Yes,Yes,Bachelor,69.1843021321707,63.69941623294195,73.44658619955158,C
STU_0029,15,Female,18.953205972030958,60.396952845113425,8.651464311009695,Yes,Yes,Bachelor,70.29596824536401,60.10051419746175,57.6479454322867,F
